Transaction ID,Type,Internal Amount,Bank Amount,Reconciliation Status,,,,,Metric,Value
1,CASH_OUT,94253.33,94253.33,Matched,,,,,Total transactions =,10003
2,PAYMENT,9839.64,9839.64,Matched,,,,,Total matched =,9972
3,TRANSFER,314403.14,314403.14,Matched,,,,,Total unmatched =,31
4,CASH_OUT,64489.64,64489.64,Matched,,,,,Discrepancy amount =," ?3,647.92 "
5,TRANSFER,1457213.54,1457213.54,Matched,,,,,% Reconciled (by Value)=,99.86%
6,PAYMENT,2998.04,2998.04,Matched,,,,,,
7,CASH_OUT,171369.73,171369.73,Matched,,,,, ,
8,PAYMENT,3454.08,3454.08,Matched,,,,, ,
9,PAYMENT,4316.2,4316.2,Matched,,,,, ,
10,PAYMENT,1864.28,1864.28,Matched,,,,,,
11,PAYMENT,4493.29,4493.29,Matched,,,,,,
12,PAYMENT,12121.5,12121.5,Matched,,,,,,
13,TRANSFER,181,181,Matched,,,,,,
14,PAYMENT,2131.84,2131.84,Matched,,,,,,
15,CASH_OUT,181,181,Matched,,,,,,
16,TRANSFER,180368.84,180368.84,Matched,,,,,,
17,PAYMENT,2278.19,2278.19,Matched,,,,,,
18,PAYMENT,11668.14,11668.14,Matched,,,,,,
19,PAYMENT,7707.44,7707.44,Matched,,,,,,
20,PAYMENT,12986.61,12986.61,Matched,,,,,,
21,PAYMENT,4013.02,4013.02,Matched,,,,,,
22,TRANSFER,42712.39,42712.39,Matched,,,,,,
23,PAYMENT,5775.15,5775.15,Matched,,,,,,
24,PAYMENT,4843.93,4843.93,Matched,,,,,,
25,TRANSFER,445038.71,445038.71,Matched,,,,,,
26,PAYMENT,2397.82,2397.82,Matched,,,,,,
27,TRANSFER,77957.68,77957.68,Matched,,,,,,
28,TRANSFER,17231.46,17231.46,Matched,,,,,,
29,PAYMENT,7817.71,7817.71,Matched,,,,,,
30,TRANSFER,78766.03,78766.03,Matched,,,,,,
31,PAYMENT,4391.44,4391.44,Matched,,,,,,
32,PAYMENT,7107.77,7107.77,Matched,,,,,,
33,TRANSFER,1123206.66,1123206.66,Matched,,,,,,
34,TRANSFER,224606.64,224606.64,Matched,,,,,,
35,PAYMENT,7861.64,7861.64,Matched,,,,,,
36,PAYMENT,4024.36,4024.36,Matched,,,,,,
37,DEBIT,996,996,Matched,,,,,,
38,DEBIT,5337.77,5337.77,Matched,,,,,,
39,TRANSFER,176334.26,176334.26,Matched,,,,,,
40,DEBIT,9644.94,9644.94,Matched,,,,,,
41,TRANSFER,161217.61,161217.61,Matched,,,,,,
42,TRANSFER,108443.61,108443.61,Matched,,,,,,
43,TRANSFER,75442.68,75442.68,Matched,,,,,,
44,DEBIT,4497.87,4497.87,Matched,,,,,,
45,TRANSFER,55536.86,55536.86,Matched,,,,,,
46,PAYMENT,7452.89,7452.89,Matched,,,,,,
47,PAYMENT,3930.81,3930.81,Matched,,,,,,
48,TRANSFER,125872.53,125872.53,Matched,,,,,,
49,TRANSFER,379856.23,379856.23,Matched,,,,,,
50,PAYMENT,3099.97,3099.97,Matched,,,,,,
51,TRANSFER,1505626.01,1505626.01,Matched,,,,,,
52,PAYMENT,2560.74,2560.74,Matched,,,,,,
53,PAYMENT,11633.76,11633.76,Matched,,,,,,
54,CASH_OUT,71532.24,71532.24,Matched,,,,,,
55,CASH_OUT,61159.51,61159.51,Matched,,,,,,
56,CASH_OUT,12401.9,12401.9,Matched,,,,,,
57,CASH_OUT,32702.61,32702.61,Matched,,,,,,
58,TRANSFER,554026.99,554026.99,Matched,,,,,,
59,PAYMENT,6926.67,6926.67,Matched,,,,,,
60,PAYMENT,4098.78,4098.78,Matched,,,,,,
61,TRANSFER,147543.1,147543.1,Matched,,,,,,
62,PAYMENT,893.57,893.57,Matched,,,,,,
63,CASH_OUT,229133.94,229133.94,Matched,,,,,,
64,TRANSFER,761507.39,761507.39,Matched,,,,,,
65,PAYMENT,1563.82,1563.82,Matched,,,,,,
66,TRANSFER,1429051.47,1429051.47,Matched,,,,,,
67,TRANSFER,438437.09,438437.09,Matched,,,,,,
68,PAYMENT,1157.86,1157.86,Matched,,,,,,
69,TRANSFER,358831.92,358831.92,Matched,,,,,,
70,TRANSFER,928722.69,928722.69,Matched,,,,,,
71,PAYMENT,671.64,671.64,Matched,,,,,,
72,TRANSFER,367768.4,367768.4,Matched,,,,,,
73,TRANSFER,1478772.04,1478772.04,Matched,,,,,,
74,TRANSFER,215310.3,215310.3,Matched,,,,,,
75,TRANSFER,480222.51,480222.51,Matched,,,,,,
76,PAYMENT,3608.41,3608.41,Matched,,,,,,
77,PAYMENT,5946.79,5946.79,Matched,,,,,,
78,PAYMENT,6099.96,6099.96,Matched,,,,,,
79,PAYMENT,372.34,372.34,Matched,,,,,,
80,TRANSFER,209711.11,209711.11,Matched,,,,,,
81,PAYMENT,4635.18,4635.18,Matched,,,,,,
82,TRANSFER,583848.46,583848.46,Matched,,,,,,
83,PAYMENT,1373.43,1373.43,Matched,,,,,,
84,PAYMENT,1267.97,1267.97,Matched,,,,,,
85,TRANSFER,1724887.05,1724887.05,Matched,,,,,,
86,DEBIT,9302.79,9302.79,Matched,,,,,,
87,DEBIT,1065.41,1065.41,Matched,,,,,,
88,PAYMENT,6911.99,6911.99,Matched,,,,,,
89,TRANSFER,710544.77,710544.77,Matched,,,,,,
90,TRANSFER,581294.26,581294.26,Matched,,,,,,
91,PAYMENT,3876.41,3876.41,Matched,,,,,,
92,TRANSFER,11996.58,11996.58,Matched,,,,,,
93,PAYMENT,1795.67,1795.67,Matched,,,,,,
94,TRANSFER,311685.89,311685.89,Matched,,,,,,
95,PAYMENT,2875.1,2875.1,Matched,,,,,,
96,PAYMENT,6061.13,6061.13,Matched,,,,,,
97,PAYMENT,9478.39,9478.39,Matched,,,,,,
98,PAYMENT,8586.98,8586.98,Matched,,,,,,
99,PAYMENT,8009.09,8009.09,Matched,,,,,,
100,PAYMENT,3199.06,3199.06,Duplicate in Bank,,,,,,
101,PAYMENT,871.75,871.75,Matched,,,,,,
102,PAYMENT,10265.17,10265.17,Matched,,,,,,
103,PAYMENT,8901.99,8901.99,Matched,,,,,,
104,PAYMENT,9029.12,9029.12,Matched,,,,,,
105,PAYMENT,7600.57,7600.57,Matched,,,,,,
106,PAYMENT,2057.71,2057.71,Matched,,,,,,
107,PAYMENT,1035.36,1035.36,Matched,,,,,,
108,PAYMENT,1063.53,1063.53,Matched,,,,,,
109,PAYMENT,3823.08,3823.08,Matched,,,,,,
110,PAYMENT,9920.52,9920.52,Matched,,,,,,
111,PAYMENT,1019.9,1019.9,Matched,,,,,,
112,TRANSFER,2806,2806,Matched,,,,,,
113,PAYMENT,3448.92,3448.92,Matched,,,,,,
114,PAYMENT,4059.38,4059.38,Matched,,,,,,
115,CASH_OUT,2806,2806,Matched,,,,,,
116,PAYMENT,4206.84,4206.84,Matched,,,,,,
117,PAYMENT,1876.44,1876.44,Matched,,,,,,
118,PAYMENT,6737.2,6737.2,Matched,,,,,,
119,PAYMENT,5885.56,5885.56,Matched,,,,,,
120,PAYMENT,5307.88,5307.88,Matched,,,,,,
121,PAYMENT,9161.98,9161.98,Matched,,,,,,
122,PAYMENT,1239.06,1239.06,Matched,,,,,,
123,CASH_OUT,28404.6,28404.6,Matched,,,,,,
124,PAYMENT,365,365,Matched,,,,,,
125,CASH_OUT,75405.1,75405.1,Matched,,,,,,
126,PAYMENT,5031.22,5031.22,Matched,,,,,,
127,CASH_OUT,50101.88,50101.88,Matched,,,,,,
128,CASH_OUT,14121.82,14121.82,Matched,,,,,,
129,PAYMENT,24213.67,24213.67,Matched,,,,,,
130,PAYMENT,8603.42,8603.42,Matched,,,,,,
131,PAYMENT,5237.54,5237.54,Matched,,,,,,
132,PAYMENT,2791.42,2791.42,Matched,,,,,,
133,PAYMENT,2618.76,2618.76,Matched,,,,,,
134,PAYMENT,7413.54,7413.54,Matched,,,,,,
135,PAYMENT,3295.19,3295.19,Matched,,,,,,
136,PAYMENT,1684.81,1684.81,Matched,,,,,,
137,PAYMENT,339.82,339.82,Matched,,,,,,
138,DEBIT,1393.46,1393.46,Matched,,,,,,
139,PAYMENT,2731.37,2731.37,Matched,,,,,,
140,DEBIT,5758.59,5758.59,Matched,,,,,,
141,CASH_OUT,78292.91,78292.91,Matched,,,,,,
142,CASH_OUT,110414.71,110414.71,Matched,,,,,,
143,CASH_OUT,176149.9,176149.9,Matched,,,,,,
144,PAYMENT,8364.73,8364.73,Matched,,,,,,
145,PAYMENT,6598.71,6598.71,Matched,,,,,,
146,CASH_OUT,212228.35,212228.35,Matched,,,,,,
147,PAYMENT,7823.46,7823.46,Matched,,,,,,
148,PAYMENT,5086.48,5086.48,Matched,,,,,,
149,CASH_OUT,85423.63,85423.63,Matched,,,,,,
150,PAYMENT,5281.48,5281.48,Matched,,,,,,
151,CASH_OUT,11648.5,11648.5,Matched,,,,,,
152,PAYMENT,13875.98,13875.98,Matched,,,,,,
153,PAYMENT,4304.58,4304.58,Matched,,,,,,
154,CASH_OUT,56953.9,56953.9,Matched,,,,,,
155,PAYMENT,2867.14,2867.14,Matched,,,,,,
156,CASH_OUT,5346.89,5346.89,Matched,,,,,,
157,PAYMENT,2946.38,2946.38,Matched,,,,,,
158,PAYMENT,2204.04,2204.04,Matched,,,,,,
159,PAYMENT,2641.47,2641.47,Matched,,,,,,
160,PAYMENT,6165.58,6165.58,Matched,,,,,,
161,PAYMENT,3705.83,3705.83,Matched,,,,,,
162,PAYMENT,507.12,507.12,Matched,,,,,,
163,CASH_OUT,23261.3,23261.3,Matched,,,,,,
